airportCode,airportName,cityName,countryName,countryCode,
FLSK,Simon Mwansa Kapwepwe Intl,Ndola,Zambia,ZMB,
FAMM,Mafikeng,Mafikeng,South African Rep,ZAF,
OYRN,Mukalla Intl,Mukalla,Yemen,YEM,
OYSN,Sanaa Intl,Sanaa,Yemen,YEM,
OYAA,Aden Intl,Aden,Yemen,YEM,
LPAZ,Santa Maria,Santa Maria,Azores,XJI,
GEML,Melilla,Melilla,Melilla,XJF,
GCXO,Tenerife-North,Tenerife-North,Canary Is,XJE,
GCTS,Reina Sofia,Tenerife-South,Canary Is,XJE,
GCFV,Fuerteventura,Fuerteventura,Canary Is,XJE,
VVTS,Tan Son Nhat Intl,Ho Chi Minh,Vietnam,VNM,
VVNB,Noi Bai Intl,Hanoi,Vietnam,VNM,
TISX,Henry E Rohlsen,St Croix I,Virgin Islands,VIR,
SVVA,Arturo Michelena Intl,Valencia,Venezuela,VEN,
SVSA,Gral. Juan Vicente Gomez INTL,San Antonio Del Tachira,Venezuela,VEN,
SVMG,Chief Gen Santiago Marino Intl,Margarita,Venezuela,VEN,
SVMC,La Chinita Intl,Maracaibo,Venezuela,VEN,
SVBC,Gen. Jose Antonio Anzoategui Intl,Barcelona,Venezuela,VEN,
TVSM,Mustique Is,Mustique,St Vincent,VCT,
TVSU,Union I. Intl,Union I.,St Vincent,VCT,
UTTT,Yuzhny,Tashkent,Uzbekistan,UZB,
OYTZ,Taiz Intl,Taiz,Yemen,YEM,
PANC,Stevens Anchorage Intl,Anchorage,USA,USA,
PAFA,Fairbanks Intl,Fairbanks,USA,USA,
KTYS,Mc Ghee Tyson,Knoxville,USA,USA,
KTVC,Cherry Capital,Traverse City,USA,USA,
KTOL,Toledo Express,Toledo,USA,USA,
KTLH,Tallahassee Intl,Tallahassee,USA,USA,
KSLC,Salt Lake City Intl,Salt Lake City,USA,USA,
KSHV,Shreveport Regl,Shreveport,USA,USA,
KSGF,Springfield-Branson Natl,Springfield,USA,USA,
KSFB,Orlando Sanford Intl,Orlando,USA,USA,
KSEA,Seattle-Tacoma Intl,Seattle,USA,USA,
KSDF,Louisville Intl-Standiford,Louisville,USA,USA,
KSBP,San Luis Obispo Co Regl,San Luis Obispo,USA,USA,
KSAV,Savannah/Hilton Head Intl,Savannah,USA,USA,
KRSW,Southwest Florida Intl,Ft Myers,USA,USA,
KRST,Rochester Intl,Rochester,USA,USA,
KROC,Greater Rochester Intl,Rochester,USA,USA,
KRIC,Richmond Intl,Richmond,USA,USA,
KPWM,Portland Intl,Portland,USA,USA,
KPIT,Pittsburgh Intl,Pittsburgh,USA,USA,
KPIE,St Pete-Clearwater Intl,St Petersburg-Clearwater,USA,USA,
KPIA,Gen Downing-Peoria Intl,Peoria,USA,USA,
KPBI,Palm Beach Intl,West Palm Beach,USA,USA,
KMYR,Myrtle Beach Intl,Myrtle Beach,USA,USA,
KMSY,Armstrong New Orleans Intl,New Orleans,USA,USA,
KMRY,Monterey Regional,Monterey,USA,USA,
KMOT,Minot Intl,Minot,USA,USA,
KMOB,Mobile Regl,Mobile,USA,USA,
KMKE,Gen Mitchell Intl,Milwaukee,USA,USA,
KMEM,Memphis Intl,Memphis,USA,USA,
KMDW,Chicago Midway Intl,Chicago,USA,USA,
KTUP,Tupelo Regl,Tupelo,USA,USA,
KMCO,Orlando Intl,Orlando,USA,USA,
KMCI,Kansas City Intl,Kansas City,USA,USA,
KMAF,Midland Intl,Midland,USA,USA,
KLIT,Bill & Hillary Clinton Natl/Adams,Little Rock,USA,USA,
KLGB,Long Beach/Daugherty Field,Long Beach,USA,USA,
KLFT,Lafayette Regl/Fournet,Lafayette,USA,USA,
KLEX,Blue Grass,Lexington,USA,USA,
KLCK,Rickenbacker Intl,Columbus,USA,USA,
KLCH,Lake Charles Regl,Lake Charles,USA,USA,
KLBB,Lubbock Preston Smith Intl,Lubbock,USA,USA,
KLAX,Los Angeles Intl,Los Angeles,USA,USA,
KLAS,Mc Carran Intl,Las Vegas,USA,USA,
KLAR,Laramie Regl,Laramie,USA,USA,
KJAC,Jackson Hole,Jackson,USA,USA,
KISP,Long Island Mac Arthur,New York,USA,USA,
KIND,Indianapolis Intl,Indianapolis,USA,USA,
KICT,Wichita Eisenhower Natl,Wichita,USA,USA,
KHRL,Valley Intl,Harlingen,USA,USA,
KHOU,Hobby,Houston,USA,USA,
FABL,Bram Fischer Intl,Bloemfontein,South African Rep,ZAF,
KHLN,Helena Regl,Helena,USA,USA,
KGRR,Ford Intl,Grand Rapids,USA,USA,
KGRI,Central Nebraska Regl,Grand Island,USA,USA,
KGPT,Gulfport-Biloxi Intl,Gulfport,USA,USA,
KTPA,Tampa Intl,Tampa,USA,USA,
KGEG,Spokane Intl,Spokane,USA,USA,
KFSD,Foss,Sioux Falls,USA,USA,
KFOE,Forbes,Topeka,USA,USA,
KFNT,Bishop Intl,Flint,USA,USA,
KFLG,Flagstaff Pulliam,Flagstaff,USA,USA,
KFAY,Fayetteville Regl/Grannis,Fayetteville,USA,USA,
KEWN,Coastal Carolina Regl,New Bern,USA,USA,
KEUG,Mahlon Sweet,Eugene,USA,USA,
KDTW,Detroit Metro Wayne Co,Detroit,USA,USA,
KDOV,Dover AFB,Dover,USA,USA,
KDAL,Dallas Love,Dallas,USA,USA,
KCRW,Yeager,Charleston,USA,USA,
KCLT,Charlotte/Douglas Intl,Charlotte,USA,USA,
KBZN,Bozeman Yellowstone Intl,Bozeman,USA,USA,
KPAE,Snohomish Co,Everett,USA,USA,
KBUR,Bob Hope,Burbank,USA,USA,
KBTV,Burlington Intl,Burlington,USA,USA,
KBTR,Baton Rouge Metro-Ryan,Baton Rouge,USA,USA,
KBOS,Logan Intl,Boston,USA,USA,
KBOI,Boise Air Terminal/Gowen,Boise,USA,USA,
KBKL,Burke Lakefront,Cleveland,USA,USA,
KBIS,Bismarck Mun,Bismarck,USA,USA,
KBIL,Billings Logan Intl,Billings,USA,USA,
KBFI,Boeing Field/King Co Intl,Seattle,USA,USA,
KBED,Hanscom,Bedford,USA,USA,
KBDL,Bradley Intl,Windsor Locks,USA,USA,
KAVL,Asheville Regl,Asheville,USA,USA,
KAUS,Austin-Bergstrom Intl,Austin,USA,USA,
NLWW,Hihifo,Uvea I,Wallis Is,WLF,
KATL,Hartsfield - Jackson Atlanta Intl,Atlanta,USA,USA,
KACY,Atlantic City Intl,Atlantic City,USA,USA,
SUSO,Salto Nueva Hesperides Intl,Salto,Uruguay,URY,
SURV,Presidente General don Oscar D. Gestido Intl,Rivera,Uruguay,URY,
SULS,Capitan Curbelo Intl,Maldonado,Uruguay,URY,
UKOO,Odesa,Odesa,Ukraine,UKR,
TVSC,Canouan,Canouan,St Vincent,VCT,
UKLR,Rivne,Rivne,Ukraine,UKR,
UKLN,Chernivtsi,Chernivtsi,Ukraine,UKR,
UKLL,L'Viv,L'Viv,Ukraine,UKR,
UKLI,Ivano-Frankivs'k,Ivano-Frankivs'k,Ukraine,UKR,
UKKK,Zhuliany,Kyiv,Ukraine,UKR,
UKDR,Lozuvatka,Kryvyi Rih,Ukraine,UKR,
